[2021-03-10 10:18:16] [INFO   ] Programm started 
[2021-03-10 10:18:17] [INFO   ] Database connected 
[2021-03-10 10:18:18] [INFO   ] Load main view EncriptOverviewController 
[2021-03-10 10:18:18] [INFO   ] 1459-П report has been choosen 
[2021-03-10 10:18:24] [INFO   ] 440-П report has been choosen 
[2021-03-10 10:18:55] [INFO   ] Local interface of signature is created 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:18:58] [INFO   ] Sign parameters are set 
[2021-03-10 10:18:58] [INFO   ] Verify parameters are set 
[2021-03-10 10:18:58] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is created 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:18:58] [INFO   ] Sign parameters are set 
[2021-03-10 10:18:58] [INFO   ] Verify parameters are set 
[2021-03-10 10:18:58] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is created 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:18:58] [INFO   ] Sign parameters are set 
[2021-03-10 10:18:58] [INFO   ] Verify parameters are set 
[2021-03-10 10:18:58] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is created 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:18:58] [INFO   ] Sign parameters are set 
[2021-03-10 10:18:58] [INFO   ] Verify parameters are set 
[2021-03-10 10:18:58] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is created 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:18:58] [INFO   ] Sign parameters are set 
[2021-03-10 10:18:58] [INFO   ] Verify parameters are set 
[2021-03-10 10:18:58] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is created 
[2021-03-10 10:18:58] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:18:58] [INFO   ] Sign parameters are set 
[2021-03-10 10:18:58] [INFO   ] Verify parameters are set 
[2021-03-10 10:18:58] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:18:58] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:19:03] [INFO   ] 440-П report has been choosen 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is created 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:20:04] [INFO   ] Sign parameters are set 
[2021-03-10 10:20:04] [INFO   ] Verify parameters are set 
[2021-03-10 10:20:04] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml is signed in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:20:04] [INFO   ] File C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml is signed in C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml_enc 
[2021-03-10 10:20:04] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml is signed in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is created 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:20:04] [INFO   ] Sign parameters are set 
[2021-03-10 10:20:04] [INFO   ] Verify parameters are set 
[2021-03-10 10:20:04] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] File C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml is encrypted in C:\workspace\fc_reporting\tmp\BVS1_ZSV14030878_780620210120_218075_20210121_0500.xml_enc 
[2021-03-10 10:20:04] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml is encrypted in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_190498_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:20:04] [INFO   ] File C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml is encrypted in C:\workspace\fc_reporting\tmp\BVD1_ZSV14030878_781620210120_232006_20210121_0500_000001_000001.xml_enc 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is created 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:20:04] [INFO   ] Sign parameters are set 
[2021-03-10 10:20:04] [INFO   ] Verify parameters are set 
[2021-03-10 10:20:04] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is created 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:20:04] [INFO   ] Sign parameters are set 
[2021-03-10 10:20:04] [INFO   ] Verify parameters are set 
[2021-03-10 10:20:04] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is created 
[2021-03-10 10:20:04] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:20:04] [INFO   ] Sign parameters are set 
[2021-03-10 10:20:04] [INFO   ] Verify parameters are set 
[2021-03-10 10:20:04] [INFO   ] Encrypt parameters are set 
[2021-03-10 10:20:04] [INFO   ] Decrypt parameters are set 
[2021-03-10 10:20:14] [INFO   ] Local interface of signature is created 
[2021-03-10 10:20:14] [INFO   ] Local interface of signature is initialized with profile - 06-FOIV 
[2021-03-10 10:20:14] [INFO   ] Sign parameters are set 
[2021-03-10 10:20:14] [INFO   ] Verify parameters are set 
[2021-03-10 10:20:14] [INFO   ] Encrypt parameters are set 
